"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","dif_vector"
"5448","3655",-2.84038158506074,12.9366768448507,-12.1107573858124,2.93564718095433e-23,3.41728687778562e-21,42.288430286286,0.0511397900000001
"7682","5557",-1.88548596035358,6.36437970858209,-12.1085731792172,2.97319006431522e-23,3.44207675970395e-21,42.2758527295578,-0.15265817
"17204","84336",-1.29578422205668,6.38408768940299,-12.0998257490488,3.12842178656214e-23,3.60210565054921e-21,42.2254801514203,0.27354884
"5519","9918",-1.73254366513091,5.32690497097015,-12.0897157824074,3.31796558035091e-23,3.79350763084305e-21,42.1672587817117,-0.00732944000000035
"16055","83483",-1.71854065751417,7.17140606813433,-12.089069520386,3.33046549295199e-23,3.79350763084305e-21,42.1635369899666,0.28164799
"5237","5478",-5.1355797138057,82.1257019103731,-12.0808007240376,3.49462099350291e-23,3.959200019698e-21,42.115916424493,-0.259166860000001
"14253","54069",-3.93306419245885,15.4385147825373,-12.0769405637861,3.57400316659933e-23,4.02759739827519e-21,42.0936848864048,-0.0984546799999997
"10484","728825",-0.744208635724696,10.6841389814925,-12.0734232457958,3.64790528329862e-23,4.08912811280236e-21,42.0734275189212,0.31823068
"17911","728568",-2.24627723247503,12.1338676802985,-12.0575084462377,4.00187629495245e-23,4.46230269394013e-21,41.9817651057672,0.0367498999999993
"9801","54941",4.0331914928448,11.4213957681343,12.0304774217112,4.68363901983043e-23,5.19516106147264e-21,41.8260635060121,-0.00062043000000056
"12270","92342",-1.4773053357139,6.06591680014925,-12.0220640755483,4.91868979473912e-23,5.42746677038245e-21,41.7775981023781,-0.02882454
"18292","113115",-2.85173443272334,10.7318000426866,-12.0041073298578,5.46060044971284e-23,5.99080662945492e-21,41.6741519815656,0.0753113399999998
"2186","79689",4.69458892591363,12.5533996282836,12.003317081913,5.48577591859839e-23,5.99080662945492e-21,41.6695993090496,0.11322743
"9869","22794",-1.13299660547099,7.35773144798508,-11.9941328111343,5.7870256527572e-23,6.28738079381097e-21,41.6166870459059,0.09366597
"13652","1939",-1.02489796656411,8.08670261477612,-11.9922424784119,5.85105494015223e-23,6.32451275316659e-21,41.605796255055,-0.0101915199999998
"8712","9928",-3.97138489272605,10.5109778593284,-11.9740299266107,6.50545164544773e-23,6.99616743961704e-21,41.5008640170397,-0.119829279999999
"6642","2189",-1.82460821173819,6.08712954529851,-11.9641388486479,6.89103658766787e-23,7.37340914880462e-21,41.4438731754986,0.0609502100000006
"14233","80010",-1.4710647017436,6.68853704522388,-11.9594339791249,7.08239223126145e-23,7.54007848299021e-21,41.4167637135072,0.15036114
"10609","10262",-1.43466500159514,8.24074321201492,-11.952845968056,7.35930739497789e-23,7.79571432350008e-21,41.3788027960074,0.25864112
